idproducto;codigoEAN;descripcion;estacion;peso_STD;estado
5750;7861092157507;Q RICOTTA KIOSKO BLOQ 250G;5;1;A
13828;7702001138289;QUESO MOZARELLA LIGHT KIOSKO 35 G;2;1;A
12549;7702001125494;YOG FNSSE FRTROJ BOT 1670G;2;1;A
12550;7702001125500;MPLX4 BY MULTSAB VASO;3;1;A
4163;7861092141636;RGN BBLE FTLLA BOT 1000G;7;1;A
4247;7861092142473;RGN TZOS MOR BOT 1750G;3;1;A
5764;7861092157644;Q JAVIER KIOSKO AL PESO;10;2.7;A
4249;7861092142497;RGN TZOS FTLLA BOT 1750G;3;1;A
17215;7702001172153;YOG BBLE KIOSKO FTILLA FUN 150G;4;1;A
16230;7702001162307;Q GOUDA KIOSKO LONJ 200G;7;1;A
6219239;7702001062195;ALPINETTE FRESA 140G ECU;6;1;A
6221239;7702001062218;ALPINETTE CEREZA 140G ECU;6;1;A
5765;7861092157651;Q JAVIER KIOSKO 20 LONJ 300G;8;1;A
4923;7861092149236;RGN TZOS MOR VASO 150 G;1;1;A
16681;7702001166817;RGN BBLE MORA 180;4;1;A
5769;7861092157699;Q MIX ESPECIAL KIOSKO CUBO BOL 350G;8;1;A
17037;7702001170371;YOG FINESSE NATURAL 950G;2;1;A
5511;7861092155114;Q PARME KIOSKO RALL BOL 100G;7;1;A
16231;7702001162314;Q CHEDDAR KIOSKO LONJ 400G;8;1;A
8654;7861092186545;BONYURT FRUTILLA ZUCARITAS;3;1;A
5779;2959265000004;Q SANDU KIOSKO LONJ AL PESO;10;2.5;A
14715;7702001147151;Q MOZAR PIZZ KIOSKO LONJ AL PESO COR;10;2.7;A
16078;7702001160785;PACK Q SAND KIOSKO BLOQ 146G JAM;4;1;A
5778;7861092157781;Q SANDU KIOSKO 20 LONJ 300G;8;1;A
10653;7702001106530;YOG BBLE KIOSKO FTLLA FUN 900G;9;1;A
16407;7702001164073;Q ESPAR CHED KIOSKO DOYP 200G;8;1;A
10830;7702001108305;YOG BBLE KIOSKO DZNO BOT 3.5KG;9;1;A
12036;7702001120369;Q CHED KIOSKO 10 LONJ 200G;5;1;A
10986;7702001109869;YOG BBLE KID KK DZNO BOT 120G;4;1;A
5731;7861092157316;Q MOZAR KIOSKO BLOQ 500G;5;1;A
5706;7861092157064;DULCE LCH KIOSKO VASO 250G;7;1;A
4010;7861092140103;RGN LGHT FTLLA BOT 180G;4;1;A
16679;7702001166794;RGN BBLE MORA 1750;3;1;A
10071;7702001100712;Q RICOTTA KIOSKO BLOQ 450G;5;1;A
10096;7702001100965;Q CREMO DEL CAMPO KIOSKO BLOQ 450G;5;1;A
14714;7702001147144;Q MOZZARELLA PIZZ KIOSKO RALLADO 1.5K;10;1;A
16745;7702001167456;SELECCION ESPECIAL KIOSKO 150G;8;1;A
16018;7702001160181;YOG FNSSE DURAZNO BOT 950G;2;1;A
16019;7702001160198;YOG FNSSE DURAZNO BOT 180G;2;1;A
17069;7702001170692;YOG FINESSE NAT VASO 150g;1;1;A
17113;7702001171132;BON YURT CHOCAPIC 158G;8;1;A
5755;7861092157552;Q HIERBAS KIOSKO AL PESO;10;2.7;A
11107;7702001111077;YOG BBLE KIOSKO DZNO BOT 950G;7;1;A
11105;7702001111053;YOG BBLE KIOSKO FTLLA BOT 950G;7;1;A
11796;7702001117963;BY AREQ VASO 165G;6;1;A
5757;7861092157576;Q HIERBAS KIOSKO LONJ AL PESO;10;2.5;A
13829;7702001138296;MPLX5 QUESO MOZARELLA LIGHT KIOSKO 35 G;2;1;A
11953;7702001119530;YOG FNSSE FRTROJ BOT 950G;2;1;A
16494;2953425000002;QUESO KIOSKO JAVIERINO LONJ 1KG AL PESO;7;2.5;A
5735;7861092157354;Q MOZAR LGHT KIOSKO BLOQ 200G;8;1;A
5701;7861092157019;CREM LCH AGRIA KIOSKO GAR 3.5KG;9;1;A
13535;2953416000004;Q JAVIER KIOSKO INST LONJ AL PESO;10;2.5;A
1224;7861092112247;MPLX4 BY BLCK VASO 165G;3;1;A
12300;7702001123001;YOG BBLE KIOSKO MOR BOT 3.5KG;2;1;A
12035;7702001120352;Q MOZAR KIOSKO 10 LONJ 150G;5;1;A
5758;7861092157583;Q HOLAN KIOSKO AL PESO;10;2.7;A
16493;2953424000003;QUESO KIOSKO HOLANDES LONJ 1KG AL PESO;10;2.5;A
16496;2953427000000;QUESO KIOSKO HIERBAS LONJ 1 KG AL PESO;7;2.5;A
8655;7861092186552;BY ZUC VASO 170G ECU;2;1;A
16678;7702001166787;YOG BBLE KIOSKO GNBN 900G;9;1;A
5777;7861092157774;Q SANDU KIOSKO 10 LONJ 150G;5;1;A
13645;7702001136452;CAJA BARQ DE AREQ 240G;6;1;A
11954;7702001119547;YOG FNSSE FRTROJ BOT 180G;2;1;A
11955;7702001119554;YOG FNSSE SBILA BOT 950G;2;1;A
14719;7702001147199;MANTEQUILLA CON SAL KIOSKO 250G;8;1;A
5512;7861092155121;Q PARME KIOSKO RALL BOL 250G;7;1;A
5745;7861092157453;Q MOZAR PIZZ KIOSKO AL PESO;10;3;A
5761;7861092157613;Q HOLAN KIOSKO LONJ AL PESO;10;2.5;A
16527;7702001165278;Q HOLANDES KIOSKO LONJAS 75G;5;1;A
12530;7702001125302;RGN CER GDLLA BOT 180G;4;1;A
16371;7702001163717;Q ANDINO KIOSKO RUEDA 450G;7;1;A
17217;7702001172177;YOG BBLE KIOSKO DURAZNO FUN 150G;4;1;A
5717;7861092157170;Q AMERIC KIOSKO 20 LONJ 300G;8;1;A
5275;7861092152755;RGN BBLE DZNO BOT 1750G;3;1;A
17024;7702001170241;YOG FNSSE FRTROJ MUSLI 155G;6;1;A
4248;7861092142480;RGN TZOS DZNO BOT 1750G;3;1;A
16680;7702001166800;RGN BBLE MORA 1000;7;1;A
8414;7861092184145;AREQUIPE VASO 50G ECU;9;1;A
4865;7861092195998;KUMIS ORIG BOT 1750G;3;1;A
4454239;7702001044542;AVENA CANELA VASO 250G ECU;1;1;A
12624;7702001126248;MPX4 YOG FNSSE MULTSAB BOT 180G;3;1;A
11322;7702001113224;Q ESPAR CHED KIOSKO VASO 45G;1;1;A
8208;7861092182080;AREQUIPE GAR 4.6KG;7;1;A
8260;7861092182608;AREQUIPE VASO 250G ECU;8;1;A
8261;7861092182615;AREQUIPE VASO 500G ECU;8;1;A
5759;7861092157590;Q HOLAN KIOSKO 20 LONJ 300G;8;1;A
16232;7702001162321;Q AMERIC KIOSKO LONJ 150G;2;1;A
5771;7861092157712;Q PROVO AHUM KIOSKO BLOQ 260G;8;1;A
16529;7702001165292;Q MOZZARELLA HIERBAS LONJAS 150G;5;1;A
5772;7861092157729;Q PROVO AHUM KIOSKO AL PESO;10;1.6;A
14606;7702001146062;YOG BBLE KID KK MORA BOT 120G;4;1;A
14607;7702001146079;YOG BBLE KID KK MORA BOT 180G;3;1;A
16513;7702001165131;GRIEG KIOSKO MOR Y ARAND 120;4;1;A
5729;7861092157293;Q MOZAR KIOSKO BLOQ 200G;5;1;A
10992;7702001109920;MPX6 YOG BBLE KID KK MULTSAB BOT 120G;4;1;A
2122;7861092121225;RGN CER PITA BOT 1000G;7;1;A
16511;7702001165117;GRIEG KIOSKO FRUT ROJ 400;4;1;A
16274;7702001162741;KIOSKO MIX LONJEADOS 400 G;6;1;A
5726;7861092157262;Q FRES CRIOL KIOSKO AL PESO;10;3;A
5760;7861092157606;Q HOLAN KIOSKO 10 LONJ 150G;5;1;A
5510;7861092155107;Q PARME KIOSKO RALL BOL 40G;7;1;A
16744;7702001167449;CREMA DE LECHE ALPINA 200G;2;1;A
12299;7702001122998;YOG DUO KIOSKO PINA COCO FUN 900G;2;1;A
10127;7702001101276;Q MOZAR KIOSKO SNACK 50G;8;1;A
10829;7702001108299;YOG BBLE KIOSKO FTLLA BOT 3.5KG;9;1;A
17051;7702001170517;KIOSKO CHEDDAR LONJAS LINEA DIARIA 75G;5;1;A
16374;7702001163748;YOG BBLE KIOSKO MORA 180;9;1;A
16375;7702001163755;MPX6 YOG BBLE KIOSKO 180;3;1;A
15997;7702001159970;QUESO SANDUCHE KIOSKO 75G;8;1;A
14180;2953418000002;Q AMERIC LONJ BKING AL PESO;10;1.6;A
14716;7702001147168;Q AMERIC KIOSKO LONJ AL PESO COR;10;1.6;A
16373;7702001163731;YOG BBLE KIOSKO DZNO 180;9;1;A
16514;7702001165148;GRIEG KIOSKO NATURAL 400;4;1;A
16515;7702001165155;GRIEG KIOSKO NATURAL 120;4;1;A
16366;7702001163663;YOG FNSSE VAINILLA 180;2;1;A
5719;2959248000007;Q AMERIC KIOSKO LONJ AL PESO;10;1.6;A
5753;7861092157538;Q GOUDA KIOSKO BLOQ 350G;8;1;A
5770;7861092157705;Q MIX ESPECIAL KIOSKO CUBO BOL 500G;8;1;A
5780;7861092157804;Q MIX MEX KIOSKO RALL BOL 300G;8;1;A
16495;2953426000001;QUESO KIOSKO MOZZARELLA LONJ 1KG AL PESO;7;2.7;A
16530;7702001165308;BY MINI GOMITAS 127G;3;1;A
5244;7861092152441;RGN BBLE FTLLA BOT 1750G;3;1;A
9088;7861092190887;MPLX4 BY MULTSAB VASO ECU;3;1;A
